======== Profiling result:
======== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 560 Ti (0)"
    Kernel: void mtf_cuda_2buffers<int=4096, int=4, unsigned int>(unsigned char const *, unsigned char*, int, int)
          1               l2_subp0_read_sector_misses    20736692    20736692    20736692    20736692
          1               l2_subp1_read_sector_misses    21131985    21131985    21131985    21131985
          1             l2_subp0_write_sector_queries    18352128    18352128    18352128    18352128
          1             l2_subp1_write_sector_queries    18352128    18352128    18352128    18352128
          1              l2_subp0_read_sector_queries    60526588    60526588    60526588    60526588
          1              l2_subp1_read_sector_queries    60852052    60852052    60852052    60852052
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1                 l2_subp0_read_hit_sectors    40362196    40362196    40362196    40362196
          1                 l2_subp1_read_hit_sectors    40133048    40133048    40133048    40133048
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1                         elapsed_cycles_sm   662381400   662381400   662381400   662381400
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           2           2           2           2
          1        l2_subp0_total_read_sector_queries    59966205    59966205    59966205    59966205
          1        l2_subp1_total_read_sector_queries    60204652    60204652    60204652    60204652
          1       l2_subp0_total_write_sector_queries    18352128    18352128    18352128    18352128
          1       l2_subp1_total_write_sector_queries    18352144    18352144    18352144    18352144
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                             gld_inst_8bit    36713217    36713217    36713217    36713217
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit    36704256    36704256    36704256    36704256
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
    Kernel: void mtf_cuda_thread_by4<int=4096, int=32, int=256>(unsigned char const *, unsigned char*, int, int)
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                               gld_request    11111097    11111097    11111097    11111097
          1                               gst_request    11113106    11113106    11113106    11113106
          1                               shared_load    15022860    15022860    15022860    15022860
          1                              shared_store    15040844    15040844    15040844    15040844
          1                                    branch    41044638    41044638    41044638    41044638
          1                          divergent_branch    10996503    10996503    10996503    10996503
          1                             active_cycles   573961111   573961111   573961111   573961111
          1                            inst_issued1_0    80756530    80756530    80756530    80756530
          1                            inst_issued2_0    45325170    45325170    45325170    45325170
          1                            inst_issued1_1    79138202    79138202    79138202    79138202
          1                            inst_issued2_1    43982243    43982243    43982243    43982243
          1                             inst_executed   286973422   286973422   286973422   286973422
          1                            warps_launched         281         281         281         281
          1                          threads_launched        8992        8992        8992        8992
          1                    thread_inst_executed_0  1098954160  1098954160  1098954160  1098954160
          1                    thread_inst_executed_2   413728720   413728720   413728720   413728720
          1                    thread_inst_executed_1  1111677993  1111677993  1111677993  1111677993
          1                    thread_inst_executed_3   407820788   407820788   407820788   407820788
          1                              active_warps  3220940193  3220940193  3220940193  3220940193
          1                 tex0_cache_sector_queries           0           0           0           0
          1                  tex0_cache_sector_misses           0           0           0           0
          1                 tex1_cache_sector_queries           0           0           0           0
          1                  tex1_cache_sector_misses           0           0           0           0
          1                           sm_cta_launched         284         284         284         284
          1                         l1_local_load_hit           0           0           0           0
